model,answer_type,total,correct,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE_L,CIDEr,BERTScore_F1
visual_cot_results,Overall,500,119,23.8,18.01,8.88,4.43,2.0,23.18,18.27,1.43,43.32
visual_cot_results,other,265,95,35.85,19.08,9.55,4.74,2.14,23.41,19.42,1.87,44.51
visual_cot_results,yes/no,235,24,10.21,16.89,8.17,4.11,1.86,22.93,16.99,1.0,42.92
